branch_id,branch_name,branch_address,branch_phone
B-01,"Easwari Lending Library","New No 292, Old, No 250, Avvai Shanmugam Salai, Gopalapuram, Chennai",8912309456
B-02,"Easwari Lending Library","W-77,4th street, anna nagar,near connextions,opp to anna nagar tower park, chennai",9840366599
B-03,"Easwari Lending Library","109-C 100ft bye-pass Road, (Opposite to Hotel Ratna cafe) 1 st floor, Velachery, Chennai",9840366599
B-04,"Easwari Lending Library","105,sir thyagaraya road, Pondy bazzar, T.Nagar,Chennai",9840366599
B-05,"Easwari Lending Library","14,B-6,Prince Manor, Purasawakkam High Road, Chennai",9840366599
B-06,"Easwari Lending Library","1/152, 200 FT Link Road,Thoraipakkam,Chennai",9840366599
B-07,"Rajeswari Lending Library","old No 95, Kutchery Road, Mylapore, Chennai",9840366599
B-08,"Easwari Lending Library","No 2, Sardar Patel Road,gokul arcade Basement,shop no 35,Adyar,Chennai",9840366599
B-09,"Easwari Lending Library","6/4,III Cross road,R.A Puram,.Chennai",9840366599
B-10,"Easwari Lending Library","TVH TAUS APTS ,EGATOOR,NATHAM LINK ROAD ,Chennai",8939918079
