pub_id,pub_name,pub_address,pub_email,pub_phone
1001,"jaico publishing house","A-2,Jash Chambers,7-A Sir Phirozshah Mehta Road, Fort, Mumbai",jaicopub@jaicobooks.com,9012375345
1002,"Westland Books ","No10, Community Centre, East of Kailash,New Delhi ",amrita@pratilipi.com,9871313832
1003,"Roli Books ","1/9, Gopalakrishnan Street, Pondy Bazaar ,T Nagar ,Chennai","selva@rolibooks.com ",9444042979
1004,"Rupa Publications","NO.167, FIRST FLOOR, Dr MGR Salai, Nungambakkam, Chennai",editorial@rupapublications.com,7947140257
1005,"Petals Publishers","2695, 1, Market, opp. D D Jain College, Opp.Mini Rose Garden, Kidwai Nagar, Ludhiana, Punjab ","editorialpetals@gmail.com ",9914027845
1006,"Penguin Random House India"," Unit No. 04-010, 4th Floor, Capital Tower-1, MG Road, Sikanderpur, Sector 26, Gurgaon , HARYANA "," PRH_Publicity@penguinrandomhouse.in",7947415363
1007,"Srishti Publishers ","212-A, Peacock Lane, Shahpur Jat, New Delhi ",editorial@srishtipublishers.com,8012378978
1008,"S. Chand Publishing","D-92, Sector –2, Noida , Uttar Pradesh",info@schandpublishing.com,9894239779
1009,"Aleph Book Company ","161 B/4, Ground Floor, Gulmohar House, Yusuf Sarai Community Centre, New Delhi ",info@alephbookcompany.com,9892138990
1010,"HarperCollins Publishers India "," 4th, Cyber City, Building No 10 Tower A, Gurugram, Haryana ","writetous@harpercollins.co.in ",7947117954
1011,"Leadstart Publishing "," 1st FLOOR,, 123, Building J2, Shram Seva Premises, Wadala Truck Terminal,  Mumbai City,Maharashtra","submissions@leadstartcorp.com ",7947418324
1012,"EMERALD PUBLISHERS","15A, I Floor, CASA Major Rd, Sulaiman Zackria Avenue, Egmore, Chennai ","info@emeraldpublishers.com ",9790860492
1013,"KRYON PUBLISHING","st Floor, No.25, Kaveri St, Ram Nagar, Ambattur, Chennai",sales@kryonpublishing.com,9952008197
1014,"APK Publishers","5/301 Ved Vihar, Paud Road, Kothrud, Pune",info@apkpublishers.com,9822796490
1015,"Pan Macmillan India","707, 7th Floor, Kailash Building, 26, K.G. Marg, New Delhi",v.sharma@macmillan.co.in,9810444501
1016,"Hachette India","4th/5th floors, Corporate Centre, Sector 44, Gurgaon, Haryana",contact@hachetteindia.com,9108722564
1017,"Oxford University Press India","Awfis,Samrah Plaza,St. Marks Road,Shanthala Nagar,Ashok Nagar, Bengaluru,Karnataka "," southcare.in@oup.com",8995607402
1018," SAGE Publications India","B-1/I-1, Mathura Road, Mohan Co Operative Industrial Area, Delhi ",info@sagepub.in,9892107732
1019,"Orient BlackSwan","3-6-752 Himayatnagar, Hyderabad "," info@orientblackswan.com",7801799322
1020," Speaking Tiger Books"," 125A, Ground Floor, Shahpur Jat, near Asiad Village, New Delhi"," info@speakingtiger.com",9521082209
1021,"Scholastic India"," 2/562 Manapakkam Main Road Manapakkam, Manapakkam, Chennai ",customerservice@scholastic.com,7947141347
1022,"BlueRose Publishers ","4233/1, Ansari Road, Daryaganj, New Delhi "," info@bluerosepublishers.com",8882898898
1023,"Power Publishers","GD 86, Salt Lake City, Sector III, Kolkata, West Bengal"," info@power-publishers.com",9830089375
1024,"shubhi publications","479, Sector 14 Rd, Sector 14, Gurugram, Haryana "," info@shubhipublications.com",7947419019
1025,"Manjul Publishing House","E-2/16, Arera Colony, Bhopal , Madhya Pradesh",sales@manjulindia.com,7554240340
